OBJECTID;NROSIEDLA;NAZWAOSIED;DZIELNICA
340;21;Krzyki - Partynice;Krzyki
341;24;G¹dów - Popowice P³d.;Fabryczna
348;42;So³tysowice;Psie Pole
349;18;Bieñkowice;Krzyki
351;32;¯erniki;Fabryczna
352;29;Muchobór Wielki;Fabryczna
353;10;Przedmieœcie O³awskie;Krzyki
354;14;Gaj;Krzyki
355;48;Wojszyce;Krzyki
356;15;Borek;Krzyki
357;20;O³taszyn;Krzyki
358;22;Klecina;Krzyki
359;25;Muchobór Ma³y;Fabryczna
342;11;Tarnogaj;Krzyki
343;43;Polanowice - Poœwiêtne - Ligota;Psie Pole
344;7;Plac Grunwaldzki;Œródmieœcie
345;4;Nadodrze;Œródmieœcie
346;19;Jagodno;Krzyki
347;30;Nowy Dwór;Fabryczna
321;12;Huby;Krzyki
322;33;Jerzmanowo - Jarno³tów - Strachowice - Osiniec;Fabryczna
323;31;KuŸniki;Fabryczna
324;16;Ksiê¿e;Krzyki
325;41;Paw³owice;Psie Pole
326;46;Œwiniary;Psie Pole
327;45;Lipa Piotrowska;Psie Pole
328;2;Przedmieœcie Œwidnickie;Stare Miasto
329;38;Kowale;Psie Pole
330;1;Stare Miasto;Stare Miasto
331;8;Zacisze - Zalesie - Szczytniki;Œródmieœcie
332;27;Grabiszyn - Grabiszynek;Fabryczna
333;36;Pracze Odrzañskie;Fabryczna
334;28;Oporów;Fabryczna
335;47;Osobowice - Rêdzin;Psie Pole
336;39;Strachocin - Swojczyce - Wojnów;Psie Pole
337;40;Psie Pole - Zawidawie;Psie Pole
338;37;Kar³owice - Ró¿anka;Psie Pole
339;23;Pilczyce - Kozanów - Popowice P³n.;Fabryczna
350;34;Leœnica;Fabryczna
362;13;Powstañców Œl¹skich;Krzyki
363;26;Gajowice;Fabryczna
364;3;Szczepin;Stare Miasto
365;35;Maœlice;Fabryczna
366;6;O³bin;Œródmieœcie
367;5;Kleczków;Psie Pole
368;9;Biskupin - Sêpolno - D¹bie - Bartoszowice;Œródmieœcie
360;17;Brochów;Krzyki
361;44;Widawa;Psie Pole
