id_station;rental_place
15007;Rondo Reagana
15001;Plac Dominikañski (Galeria Dominikañska)
15003;Rynek
15004;Dworzec G³ówny 
15002;Dworzec G³ówny, po³udnie
15011;Szczêœliwa (Sky Tower)
15032;Wita Stwosza / Szewska
15080;Drobnera / Plac Bema
15009;Powstañcow Œl¹skich / Aleja Hallera
15079;Kazimierza Wielkiego (Helios)
15077;Fosa Miejska 
15039;Koœciuszki / Pu³askiego
15068;Powstañców Œl¹skich (Arkady Wroc³awskie)
15020;Legnicka (Park Magnolia)
15034;Plac Jana Paw³a II (Akademia Muzyczna)
15046;Drobnera / Dubois
15035;Plac Uniwersytecki (UWr)
15017;Wyszyñskiego / Szczytnicka
15015;Dyrekcyjna / Borowska (Wroclavia)
15063;Zaporoska / Grabiszyñska
15054;Plac Grunwaldzki / Polaka
15072;Szewska / Kazimierza Wielkiego 
15016;Kamienna / Borowska (Aquapark)
15041;Koœciuszki / Komuny Paryskiej / Zgodna
15055;Wróblewskiego (Teki)
15048;Nowowiejska / Wyszyñskiego
15085;Krzycka / Aleja Karkonoska (Park Po³udniowy)
15010;Grabiszyñska / Aleja Hallera
15037;Plac Legionów
15064;Grabiszyñska / Stalowa
15057;Œlê¿na / Kamienna (Uniw. Ekonomiczny)
15038;Œwidnicka / Pi³sudskiego (Hotel Scandic)
15024;Wróblewskiego (ZOO)
15083;Aleja Kromera
15062;Plac Grunwaldzki (DS O³ówek)
15061;Nowowiejska / Górnickiego
15042;Traugutta / Pu³askiego
15066;Aleja Hallera / Mielecka
15053;Sienkiewicza / Wyszyñskiego
15023;Plac Powstañców Œl¹skich
15033;Plac Koœciuszki (Renoma)
15028;Norwida / Wyspiañskiego (PWr)
15157;al. Armii Krajowej / Borowska
15008;Pereca / Grabiszyñska
15195;Piaskowa / œw. Ducha
15089;Œwieradowska (Ferio Gaj )
15025;Œlê¿na / Aleja Wiœniowa
15040;Plac Powstañców Warszawy (Muzeum Narodowe)
15006;Legnicka / Wejherowska
15069;Legnicka / M³odych Techników
15078;£ukasiewicza / Smoluchowskiego (PWr)
15251;Promenady Wroc³awskie
15019;Borowska (Uniw. Szpital Kliniczny)
15060;Traugutta / Koœciuszki
15094;¯migrodzka / Broniewskiego
15075;Legnicka / Zachodnia 
15093;Bardzka / Piêkna
15029;Plac Œwiêtego Macieja / Trzebnicka
15012;Œrubowa / Strzegomska
15014;Lotnicza / Na Ostatnim Groszu
15047;Poniatowskiego / Oleœnicka
15059;Zaporoska / Gajowicka
15090;Wa³brzyska - pêtla tramwajowa
15005;Nowowiejska / Jednoœci Narodowej
15044;Plac Strzegomski / Poznañska
15013;Na Grobli (PWr - Geocentrum)
15197;pl. Orl¹t Lwowskich
15027;Janiszewskiego (PWr)
15052;Sienkiewicza / Piastowska
15088;Strzegomska / Estoñska
15087;Zwyciêska / O³taszyñska
15022;Jagie³³y / Dmowskiego 
15074;Grabiszyñska / Magazynierska (Corte Verona)
15160;al. Armii Krajowej / Bardzka
15049;¯eromskiego / Daszyñskiego
15065;Krucza / Mielecka / Stalowa
15081;Krzywoustego - Rynek Psie Pole
15043;Stacyjna (Dworzec Miko³ajów)
15155;Jednoœci Narodowej / Wyszyñskiego
15045;Zachodnia / Poznañska
15191;Hubska / Prudnicka
15138;al. Kochanowskiego / Kopernika
15021;Kurkowa / Dubois
15056;Komandorska / Sanocka
15097;Marca Polo (Olimpia Port)
15082;Pilczycka / Kozanowska
15198;Komandorska / Kamienna
15070;¯elazna / Pereca
15162;Skarbowców / Wietrzna
15073;Na Ostatnim Groszu
15036;Fabryczna / Wagonowa
15092;Pilczycka (Stadion Miejski)
15168;Nyska / Jesionowa
15164;Lotnicza / Bajana
15051;Joliot-Curie (Uwr)
15158;Gliniana / Gajowa
15181;Wojanowska / Arbuzowa 
15067;Grochowa / Jemio³owa,
15050;¯eromskiego / Kluczborska
15118;Œlê¿na / Skierniewicka
15159;Kamienna / Tomaszowska
15153;pl. Powstañców Wielkopolskich
15144;Krakowska / Leroy Merlin
15140;Bezpieczna / Obornicka
15149;PrzyjaŸni
15110;Czekoladowa / Wa³brzyska
15106;Krzywoustego / Korona
15111;Tarnogajska / Klimasa
15095;Tyrmanda / Trawowa
15122;M³odych Techników
15076;Robotnicza / Fabryczna
15154;Plac Staszica
15113;Graniczna / Strzegomska
15026;Trymanda / Miñska
15104;Grota-Roweckiego / Parafialna
15193;Ko³³¹taja / Podwale
15031;Traktatowa (przystanek kolejowy)
15105;Œwieradowska / Krynicka
15156;Mickiewicza / pêtla tramwajowa
15058;Oporów (pêtla tramwajowa)
15103;Kraszewskiego / Trzebnicka
15030;Miñska / stanis³awowska
15152;Nyska / Piêkna
15091;Buforowa - Vivaldiego
15121;Reymonta / Kleczkowska
15163;Rac³awicka / Rymarska
15116;Zwyciêska / Agrestowa
15109;Solskiego / al. Piastów
15148;PrzyjaŸni / Karkonoska
15101;Obornicka / Ba³tycka
15123;Popowicka / NiedŸwiedzia 
15135;Olszewskiego / Spó³dzielcza
15114;¯migrodzka / Marino
15253;Aleja Bielany
15184;Gorlicka / Litewska
15172;Popowicka 
15130;Kozanowska / Pilczycka
15124;Lotnicza / Metalowców
15125;Zaporoska / Wielka / Krucza
15112;Opolska / pêtla tramwajowa
15169;al. Armii Krajowej / Tarnogajska
15145;Koszarowa / UWr
15196;Kleciñska / Duñska
15187;Kosmonautów / Fieldorfa, szpital wojewódzki
15084;Leœnica - pêtla tramwajowa
15177;Bacciarellego / pêtla autobusowa
15107;Rogowska / Zemska
15086;Moœcickiego (stacja kolejowa)
15141;Drzewieckiego / Dedala
15018;Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM)
15252;Centrum Handlowe Auchan Bielany
15119;Strzegomska / Rogowska 
15128;al. Kochanowskiego / Œniadeckich 
15117;al. Karkonoska / JeŸdziecka
15129;al. Brücknera / Kwidzyñska
15133;Kamieñskiego / Jutrosiñska
15096;Zatorska / Królewska - pêtla MPK
15190;Partyzantów / Okrzei
15150;Konduktorska
15194;Opolska / Siemianowicka
15142;Œlê¿na / pêtla tramwajowa
15170;Prochowicka / Dolnobrzeska
15131;Pilczycka / Koszykarska
15098;Osobowicka - pêtla tramwajowa
15146;So³tysowicka / Redycka
15115;Strachowskiego / Parafialna
15171;Boguszowska / Kosmonautów
15139;Ba³tycka / ¯migrodzka
15161;Hallera / Odkrywców
15137;Bacciarellego
15102;Berenta / Kasprowicza
15108;Hermanowska / Ko³obrzeska
15185;Kasprowicza / Syrokomli
15183;Kie³czowska
15176;Poleska / Litewska
15180;Stab³owicka / G³ówna
15189;Mr¹gowska / Rolna
15186;Paprotna / Obornicka, zajezdnia MPK
15126;Maœlicka / Stodolna
15127;Bystrzycka / Idzikowskiego
15136;Olszewskiego, pêtla tramwajowa
15120;Karwiñska / Opolska
15099;Waniliowa / Cynamonowa
15173;Kosmonautów / Glinianki / WUWA2
15100;¯ernicka
15182;Osobowicka / Ostrowska
15132;al. Jana III Sobieskiego / stacja kolejowa
15192;Jagodziñska / Buforowa
15147;al. Poprzeczna / stacja kolejowa
15178;Œredzka / Dolnobrzeska
15134;Semaforowa
15199;Wroc³aw Stadion, stacja kolejowa
15200;Wroc³aw Leœnica, stacja kolejowa
15143;Moœcickiego / Chiñska 
15175;Okulickiego
15174;Wilanowska
15188;Stab³owicka
15165;Strachociñska / Wieœniacza
15179;Mi³oszycka / Swojczycka
15166;Ksiêgarska / Dekarska / Zduñska
15151;Jerzmanowska
15167;Stadion Olimpijski
10000;Poza stacj¹
